nodes__label,nodes__link,nodes__connection_label,nodes__connection_link
,,Irma Pince,Irma_Pince
,,James Potter,James_Potter_I
,,Justin FinchFletchley,Justin_FinchFletchley
,,Katie Bell,Katie_Bell
,,Luna Lovegood,Luna_Lovegood
,,Marietta Edgecombe,Marietta_Edgecombe
,,Minerva McGonagall,Minerva_McGonagall
,,Neville Longbottom,Neville_Longbottom
,,Nicholas de MimsyPorpington,Nicholas_de_MimsyPorpington
,,Penelope Clearwater,Penelope_Clearwater
,,Peter Pettigrew,Peter_Pettigrew
,,Pomona Sprout,Pomona_Sprout
,,Quirinus Quirrell,Quirinus_Quirrell
,,Remus Lupin,Remus_Lupin
,,Rolanda Hooch,Rolanda_Hooch
,,Rubeus Hagrid,Rubeus_Hagrid
,,Seamus Finnigan,Seamus_Finnigan
,,Severus Snape,Severus_Snape
,,Sirius Black,Sirius_Black
,,Viktor Krum,Viktor_Krum
,,Winky,Winky
Harry Potter,Harry_Potter,Aberforth Dumbledore,Aberforth_Dumbledore
,,"Alastor ""MadEye"" Moody",Alastor_Moody
,,Albus Dumbledore,Albus_Dumbledore
,,Alecto Carrow,Alecto_Carrow
,,Alice Longbottom,Alice_Longbottom
,,Alicia Spinnet,Alicia_Spinnet
,,Amelia Bones,Amelia_Bones
,,Amos Diggory,Amos_Diggory
,,Amycus Carrow,Amycus_Carrow
,,Andromeda Tonks,Andromeda_Tonks
,,Angelina Johnson,Angelina_Johnson
,,Anthony Goldstein,Anthony_Goldstein
,,Antioch Peverell,Antioch_Peverell
,,Antonin Dolohov,Antonin_Dolohov
,,Arabella Figg,Arabella_Figg
,,Aragog,Aragog
,,Argus Filch,Argus_Filch
,,Ariana Dumbledore,Ariana_Dumbledore
,,Arthur Weasley,Arthur_Weasley
,,Augusta Longbottom,Augusta_Longbottom
,,Augustus Rookwood,Augustus_Rookwood
,,Bane,Bane
,,Barty Crouch Jr.,Bartemius_Crouch_Jr.
,,Barty Crouch Sr.,Bartemius_Crouch_Sr.
,,Bathilda Bagshot,Bathilda_Bagshot
,,Bellatrix Lestrange,Bellatrix_Lestrange
,,Bill Weasley,Bill_Weasley
,,Blaise Zabini,Blaise_Zabini
,,Bloody Baron,Bloody_Baron
,,Bob Ogden,Bob_Ogden
,,Buckbeak,Buckbeak
,,Cadmus Peverell,Cadmus_Peverell
,,Cedric Diggory,Cedric_Diggory
,,Charlie Weasley,Charlie_Weasley
,,Cho Chang,Cho_Chang
,,Colin Creevey,Colin_Creevey
,,Cormac McLaggen,Cormac_McLaggen
,,Cornelius Fudge,Cornelius_Fudge
,,Crookshanks,Crookshanks
,,Cuthbert Binns,Cuthbert_Binns
,,Dean Thomas,Dean_Thomas
,,Dedalus Diggle,Dedalus_Diggle
,,Dirk Cresswell,Dirk_Cresswell
,,Dobby,Dobby
,,Dolores Umbridge,Dolores_Umbridge
,,Draco Malfoy,Draco_Malfoy
,,Dudley Dursley,Dudley_Dursley
,,Elphias Doge,Elphias_Doge
,,Emmeline Vance,Emmeline_Vance
,,Ernie Macmillan,Ernest_Macmillan
,,Fang,Fang
,,Fat Friar,Fat_Friar
,,Fat Lady,Fat_Lady
,,Fawkes,Fawkes
,,Fenrir Greyback,Fenrir_Greyback
,,Filius Flitwick,Filius_Flitwick
,,Firenze,Firenze
,,Fleur Delacour,Fleur_Delacour
,,Fluffy,Fluffy
,,Frank Bryce,Frank_Bryce
,,Frank Longbottom,Frank_Longbottom
,,Fred Weasley,Fred_Weasley
,,Gabrielle Delacour,Gabrielle_Delacour
,,Garrick Ollivander,Garrick_Ollivander
,,Gellert Grindelwald,Gellert_Grindelwald
,,George Weasley,George_Weasley
,,Gilderoy Lockhart,Gilderoy_Lockhart
,,Ginny Weasley,Ginny_Weasley
,,Godric Gryffindor,Godric_Gryffindor
,,Grawp,Grawp
,,Gregorovitch,Gregorovitch
,,Gregory Goyle,Gregory_Goyle
